feature,type,weighting,n_tasks,auc,best_threshold,precision_at_best,recall_at_best,f1_at_best
AU07_r_mass,univariate,unweighted,795,0.6413999999999999,0.6769999999999999,0.7097378277153558,0.758,0.7330754352030947
AU14_r_mass,univariate,unweighted,795,0.6385050847457627,0.7073333333333334,0.7019064124783362,0.81,0.7520891364902508
AU23_r_mass,univariate,unweighted,795,0.6211898305084746,0.3663333333333333,0.7445054945054945,0.542,0.6273148148148148
AU10_r_mass,univariate,unweighted,795,0.6189525423728813,2.268,0.7063492063492064,0.712,0.7091633466135459
AU07_r_peak,univariate,unweighted,795,0.6151491525423729,1.68,0.7182044887780549,0.576,0.6392896781354052
AU14_r_peak,univariate,unweighted,795,0.6050474576271186,1.0,0.6805324459234608,0.818,0.742960944595822
AU23_r_peak,univariate,unweighted,795,0.5867423728813559,0.48,0.6890243902439024,0.678,0.6834677419354839
AU07_r_mean,univariate,unweighted,795,0.5854237288135593,0.1876315789473684,0.680327868852459,0.83,0.7477477477477475
AU14_c_mean,univariate,unweighted,795,0.5834745762711864,0.125,0.6729377713458755,0.93,0.7808564231738035
AU14_r_mean,univariate,unweighted,795,0.5828067796610169,0.2172222222222222,0.6686746987951807,0.888,0.7628865979381444
AU23_r_mean,univariate,unweighted,795,0.5753762711864406,0.10375,0.6968215158924206,0.57,0.627062706270627
AU10_c_mean,univariate,unweighted,795,0.570850847457627,0.6842105263157895,0.6894824707846411,0.826,0.7515923566878981
AU10_r_peak,univariate,unweighted,795,0.5686847457627118,1.47,0.6715210355987055,0.83,0.7423971377459749
AU20_r_mass,univariate,unweighted,795,0.5679322033898304,0.3186666666666667,0.6953846153846154,0.452,0.5478787878787879
AU07_c_mean,univariate,unweighted,795,0.5619322033898304,0.2340425531914893,0.6749521988527725,0.706,0.6901270772238515
AU45_r_mass,univariate,unweighted,795,0.5444135593220338,0.8113333333333335,0.696,0.348,0.46399999999999997
AU23_c_mean,univariate,unweighted,795,0.5435118644067796,0.0379746835443038,0.6925465838509317,0.446,0.5425790754257909
AU26_r_mass,univariate,unweighted,795,0.5398440677966102,1.169666666666667,0.6637931034482759,0.462,0.544811320754717
