video_id,n_frames,duration_s,AU01_r_mean,AU01_r_std,AU02_r_mean,AU02_r_std,AU04_r_mean,AU04_r_std,AU05_r_mean,AU05_r_std,AU06_r_mean,AU06_r_std,AU07_r_mean,AU07_r_std,AU09_r_mean,AU09_r_std,AU10_r_mean,AU10_r_std,AU12_r_mean,AU12_r_std,AU14_r_mean,AU14_r_std,AU15_r_mean,AU15_r_std,AU17_r_mean,AU17_r_std,AU20_r_mean,AU20_r_std,AU23_r_mean,AU23_r_std,AU25_r_mean,AU25_r_std,AU26_r_mean,AU26_r_std,AU45_r_mean,AU45_r_std
21731.2,49068,1962.7,0.277973,0.495019,0.237073,0.588156,1.253724,0.533066,0.102478,0.285429,0.35415,0.306408,1.239016,0.682519,0.112409,0.225632,1.835348,1.007188,0.203933,0.238847,0.071355,0.219204,0.719659,1.165164,0.952784,0.811176,0.232209,0.484236,0.157765,0.324458,1.100379,1.181056,0.632645,0.676659,0.163346,0.271264
21731.3,43416,1736.6,0.317036,0.584622,0.30861,0.751441,1.298077,0.545391,0.098767,0.275479,0.427568,0.306289,1.155214,0.643757,0.119667,0.234408,2.065935,0.963479,0.230977,0.243369,0.06271,0.194271,0.682115,1.07497,0.945192,0.784381,0.219993,0.436282,0.154839,0.309713,1.092901,1.117375,0.646098,0.687021,0.163284,0.269442
21731.4,48655,1946.2,0.345366,0.630884,0.28181,0.69696,1.279887,0.569939,0.096153,0.265825,0.42084,0.313288,1.144774,0.630339,0.133174,0.26495,1.916416,0.957535,0.258824,0.258471,0.116773,0.293397,0.758347,1.1916,0.957739,0.804895,0.232668,0.454239,0.164526,0.324914,1.205646,1.223438,0.65859,0.705746,0.170262,0.277471
21731.5,49613,1984.5,0.359253,0.646552,0.308103,0.740754,1.399273,0.561259,0.100338,0.277089,0.4073,0.317305,1.077626,0.636018,0.119571,0.238422,1.898003,0.960801,0.242632,0.251347,0.070437,0.213005,0.750439,1.167019,0.895386,0.751484,0.225263,0.433145,0.166479,0.324599,1.201728,1.208819,0.648088,0.690151,0.16557,0.275352
21731.6,45444,1817.7,0.376733,0.656016,0.292433,0.693479,1.221388,0.518898,0.106484,0.297949,0.319693,0.276993,0.755242,0.5498,0.116319,0.234124,1.794896,0.921521,0.249098,0.250758,0.061074,0.19289,0.738896,1.154257,0.857436,0.719833,0.229323,0.444603,0.162412,0.305912,1.21434,1.232543,0.67022,0.725054,0.170992,0.281655
21762.1,53381,1781.1,0.224101,0.359848,0.123571,0.301152,0.789724,0.533102,0.051054,0.141,0.172981,0.212361,1.107483,0.823023,0.071859,0.154395,0.909148,0.404283,0.383501,0.32017,0.011345,0.082574,0.167275,0.271426,0.801706,0.752151,0.157919,0.334071,0.11068,0.212885,0.448979,0.466292,0.546963,0.556684,0.206515,0.376818
21762.2,55118,1839.1,0.301904,0.448014,0.144284,0.345611,0.623703,0.487646,0.060544,0.179796,0.582492,0.378351,1.91598,0.942686,0.089095,0.215689,1.332786,0.628642,0.644823,0.359446,0.092664,0.213612,0.207582,0.389463,0.774138,0.76286,0.174685,0.369982,0.15523,0.306809,0.543582,0.58312,0.634336,0.665805,0.234246,0.407242
21786.1,52724,1759.2,0.354184,0.617898,0.144089,0.347582,0.368317,0.508422,0.066751,0.170404,0.824104,0.490239,0.954126,0.548829,0.092821,0.197709,0.651801,0.428252,0.440891,0.467726,0.046063,0.158644,0.192984,0.309638,0.683697,0.605743,0.157885,0.294245,0.15931,0.311327,0.649939,0.679968,0.71414,0.73338,0.181609,0.336916
21786.2,52656,1756.9,0.414589,0.697436,0.191002,0.458072,0.735298,0.668364,0.068214,0.177057,0.753486,0.478987,0.763966,0.553875,0.113049,0.243071,0.718734,0.437367,0.384019,0.453935,0.063569,0.2075,0.172428,0.292817,0.711659,0.623026,0.151242,0.285049,0.161671,0.30523,0.636882,0.661605,0.703541,0.70235,0.190674,0.336408
21786.3,52408,1748.6,0.3957,0.660325,0.156215,0.381333,0.495438,0.557705,0.071846,0.188966,0.635348,0.43555,0.84464,0.555096,0.105068,0.217482,0.702356,0.44233,0.351307,0.398395,0.038303,0.163219,0.174078,0.300064,0.675732,0.596462,0.161292,0.300055,0.178968,0.354582,0.629611,0.647087,0.734748,0.746574,0.20198,0.365018
