intensity,merge_dist,min_dur,total_events,total_core_sec,n_videos_with_events,events_per_video_mean,events_per_video_median,events_per_video_p25,events_per_video_p75,events_per_video_max,core_sec_per_video_mean,core_sec_per_video_median,n_subjects,events_per_subject_mean,events_per_subject_median,core_sec_per_subject_mean
1.2,0.5,0.3,144848,474433.0580000001,3683,36.2391793845384,18.0,4.0,54.0,327,118.69728746559922,31.569000000000223,978,148.10633946830265,70.0,485.1053762781187
1.2,0.5,0.5,144847,474432.5580000001,3683,36.23892919689767,18.0,4.0,54.0,327,118.69716237177886,31.569000000000223,978,148.10531697341514,70.0,485.10486503067494
1.2,0.5,1.0,104425,445610.58400000003,3473,26.125844383287465,11.0,2.0,37.0,267,111.48626069552165,25.835000000000093,978,106.77402862985686,45.0,455.6345439672802
1.2,0.5,1.5,79693,415579.372,3273,19.938203652739556,7.0,1.0,27.0,203,103.97282261696272,21.067000000000007,978,81.48568507157464,31.0,424.9277832310839
1.2,0.5,2.0,63237,387331.33800000005,3071,15.821115836877658,5.0,1.0,20.0,163,96.90551363522643,16.764999999999873,978,64.65950920245399,22.0,396.04431288343557
1.2,1.0,0.0,127977,486877.6880000001,3683,32.01826369777333,17.0,4.0,49.0,243,121.81078008506381,31.996999999999957,978,130.85582822085888,66.5,497.82994683026595
1.2,1.0,0.3,127977,486877.6880000001,3683,32.01826369777333,17.0,4.0,49.0,243,121.81078008506381,31.996999999999957,978,130.85582822085888,66.5,497.82994683026595
1.2,1.0,0.5,127976,486877.1880000001,3683,32.0180135101326,17.0,4.0,49.0,243,121.81065499124345,31.996999999999957,978,130.85480572597137,66.5,497.82943558282216
1.2,1.0,1.0,93738,462522.07200000004,3474,23.4520890668001,11.0,2.0,34.0,209,115.71730597948462,26.800000000000125,978,95.84662576687117,42.5,472.9264539877301
1.2,1.0,1.5,73542,438025.21200000006,3279,18.399299474605954,7.0,1.0,26.0,172,109.5884943707781,22.569000000000074,978,75.1963190184049,31.0,447.8785398773007
1.2,1.0,2.0,60216,415141.14600000007,3100,15.065298974230673,5.0,1.0,21.0,149,103.86318388791595,19.13299999999987,978,61.57055214723926,23.0,424.47969938650306
1.2,2.0,0.0,109307,514299.76300000004,3683,27.347260445334,16.0,4.0,43.0,164,128.67144433324995,33.83299999999986,978,111.76584867075664,62.0,525.8688783231084
1.2,2.0,0.3,109307,514299.76300000004,3683,27.347260445334,16.0,4.0,43.0,164,128.67144433324995,33.83299999999986,978,111.76584867075664,62.0,525.8688783231084
1.2,2.0,0.5,109307,514299.76300000004,3683,27.347260445334,16.0,4.0,43.0,164,128.67144433324995,33.83299999999986,978,111.76584867075664,62.0,525.8688783231084
1.2,2.0,1.0,81462,494569.443,3477,20.380785589191895,10.0,2.0,31.0,146,123.7351621215912,28.9020000000001,978,83.29447852760737,40.5,505.69472699386506
1.2,2.0,1.5,65722,475495.798,3298,16.44283212409307,7.0,1.0,25.0,126,118.96317187890918,25.231999999999992,978,67.20040899795501,30.0,486.1920224948875
1.2,2.0,2.0,55548,458031.792,3142,13.897423067300476,5.0,1.0,20.0,113,114.59389342006506,21.966000000000093,978,56.79754601226994,24.0,468.3351656441718
1.2,3.0,0.0,97760,543040.703,3683,24.458343757818362,15.0,4.0,39.0,127,135.86207230422818,35.33799999999968,978,99.95910020449898,60.0,555.2563425357873
1.2,3.0,0.3,97760,543040.703,3683,24.458343757818362,15.0,4.0,39.0,127,135.86207230422818,35.33799999999968,978,99.95910020449898,60.0,555.2563425357873
1.2,3.0,0.5,97760,543040.703,3683,24.458343757818362,15.0,4.0,39.0,127,135.86207230422818,35.33799999999968,978,99.95910020449898,60.0,555.2563425357873
1.2,3.0,1.0,73615,525961.2520000001,3478,18.417563172379285,10.0,2.0,29.0,98,131.5890047535652,31.23500000000027,978,75.27096114519428,39.0,537.7926912065441
